title,award,critic,public
,,,This was a great movie! Great acting by all. It kept me guessing with what was going to happen next (especially since I hadn't been following the real story when it happened). We rented this at home... Perfect rental.
,,,Great all-around movie and Tom Hanks knocks it out of the park as always. Captain Phillips is a must see if you like high intensity true stories
,,,"""Captain Phillips"" definitely got me on the edge of my seat. It's gritty and emotionally gripping, but the slower parts are quite unmemorable. Tom Hanks and Barkhad Adbi are great in tandem, feeding off each other's energy."
,,,An incredible film which will keep you on the edge of your seat. Awesome film a bit emoitional and fantastico.Also pointing out how the world is run by psycho's
,,,"Excellent performance by Mr. Hanks and the rest of the cast. Kept my attention and engaged my interest. A fair amount of action and suspense. Overall, very good."
,,,"A hyper-realistic collision course that leaves the viewer rife with emotional distress on how important it is to have armed security on a cargo ship in an area where ruthless, dim-witted Somali pirates are present. Expect a climactic lifeboat standoff that will leave you breathless and appalled at Tom Hanks' unforgettable freakout performance."
,,,Yes! The basics of the story is true but the creators took some liberties adding some fiction for entertainment value. Still enjoyed the film.
,,,"Excellent all around movie! Great acting and screenplay! Action and suspense! I could watch it over and over again! Very interesting how they hi-jack the boat, and then how the real game of cat & mouse begins! Definitely worth the watch, highly entertaining! A+ Rating!!"
,,,"Believable, straight-ahead, plausible dramatization of the real-life piracy story it's based on; sheer entertainment, but not mindless, with good dynamics between the two ""captains."" Exciting, enjoyable movie - won't blow you away, but remarkably competent, and the ending is more human and realistic than most comparable (action) movies you've seen."
,,,"An intense showcase of great actors. You cant stop feeling the feeling that tells you that this really happened to somebody, that somebody went through this. Great movie, see it."
,,,"It's surprising that such a big ship company doesn't care enough for security, all the more when it's route involves piracy zone. Besides, it was funny to see Hanks igniting and shooting the flairs in the direction of the skiff, only to miss every shot. And why didn't he care to shoot one right when they were below the boat preparing to climb through ladder. Anyways, it was entertaining. Just that I was expecting an action thriller biopic, but instead got to view a comedy-of-errors sort of movie. Tom Hanks performs eerily and the character Muse is a bit funny. The hide and seek in the boat also adds to the entertainment"
,,,"Superb film that is sympathetic to all sides, that has very good performances, doesn't always go where you think it will and is brilliantly paced leading to a tense finale. Captain Philips is a common old garden, run of the mill captain of a container ship. He has an everyday hum drum existence except that he is assigned jobs that occasionally require him to venture into lawless waters. When he gets such an assignment he is extremely wary and cautious of this so when his ship is boarded by pirates (who are African type and not of the peg leg, eye patch and parrot variety) this has not happened because of any complacency on the Captains part. The crew do their best to delay the capture of the ship and things do not go to plan for any of the parties involved. Add to the mix the eventual involvement of the authorities and the politics involved with this completely changing the playing field and not always to the captains personal advantage. My favourite part of this film is the last 20-30 minutes. It is expertly done and is up there with director Greengrass's efforts in the Bourne trilogy. What he got right in those films he does again in this. The performances are good and I especially liked Hanks role later on as his situation became more and more desperate. To think that the cast of the pirates had no acting experience to speak of makes their convincing performances all the more impressive."
,,,
Gravity,Oscars,the plot is simple but the cosmic space is beautiful. This movie must be a challenge to shoot a realistic drama of human activities without gravity.,"Simplistic, fast phase, emotional roller coaster that delivers pure deep space terror; nerve wracking suspense; outstanding cinematography, and awe inspiring performance by Bullock and Cloony. Certainly, reiterating that in space, as breath-taking its peaceful beauty could be, can harm anyone in the most cruel manner. Anything could happen in the infinite abyss and no one could ever lend a hand. It's like watching 'Final Destination' in a space setting that possesses more engaging characters, surrealness and delivers a good story with a subtle message."
,,A brilliantly tense and involving account of two stricken astronauts; a howl in the wilderness that sucks the breath from your lungs.,"Boring! Beautiful, but if it's not on a big screen, don't bother. So there is no rewatch-ability."
,,"If the film past is dead, Gravity shows us the glory of cinema's future. It thrills on so many levels. And because Cuar‪ón is a movie visionary of the highest order, you truly can't beat the view.","Vastly overrated. Special effects were amazing, and that’s about it. The plot is boring, the characters are boring, the dialogue is boring, the title is even boring! I nodded off several times during this snoozefest of a movie."
,,"This isn't just the best-looking film of the year, it's one of the most awe-inspiring achievements in the history of special-effects cinema.","This film is a masterpiece. The performances of the actors, especially Sandra Bullock, are great, visual and auditive is great, the story is exciting. In conclusion, it is among the best films about space."
,,Gravity is a crowd-pleasing version of what scientists and mathematicians are said to experience in their rarefied sphere-a wondrous fusion of faith and science,"Definitely one of the worse movies ever made. They just made a script to show off the all new special effects. Boring characters, all non relatable, and u don't feel for them. Even as they try hard with one characters backstory or in other words a previous event she reveals. Complete garbage. Will never watch again, and I bet those who rated this movie good won't watch it again 2."
,,"""Gravity"" presents an artificial world that could only have made been today, and provides a fantastic showcase of new possibilities.","A technical triumph. Visually stunning and superbly directed, Gravity is a thriller of nightmarish scenarios that are believable, not only thanks to the very high quality of acting, but also the fact that they are based on actual physics"
,,"If our exploration of space emerged from imagination, science and the spark of inspiration, the extraordinary ""Gravity"" uses those same tools to craft a movie that might correctly be called a thrill ride with a brain.","Simplistic, fast phase, emotional roller coaster that delivers pure deep space terror; nerve wracking suspense; outstanding cinematography, and awe inspiring performance by Bullock and Cloony. Certainly, reiterating that in space, as breath-taking its peaceful beauty could be, can harm anyone in the most cruel manner. Anything could happen in the infinite abyss and no one could ever lend a hand. It's like watching 'Final Destination' in a space setting that possesses more engaging characters, surrealness and delivers a good story with a subtle message."
,,"Nearly everything about ""Gravity"" feels right, from its appropriate but compact running time to its satisfying conclusion.","Very overrated. The plot feels rushed, we're thrown in to space before being thrown about it, there is no character development at all, so I felt like I couldn't care less if they all died up there within the first 30 seconds and then a new plot continued down on earth. The visuals were very good, and the concept of the film is very novel. I will never understand the hype this generated, or why people are still pretending that it deserves the rating it has even now."
,,That rarest of breeds: the intellectual blockbuster.,"Gravity is a taut, somewhat haunting thriller that makes you feel like you're in the cosmos"
,,An existential action movie that unashamedly embraces the sensation of awe.,"Visually amazing and led by a stunning performance by Sandra Bullock, Alfonso Cuaron's passion project is both ambitious in it's effects as well as it's ideas - and raises the bar for future 3D oriented movies."
,,,"Gravity is an effects extravaganza with near miss after near miss. The action is almost continual, of the ""out of the frying pan, into the fire"" variety. If the trailer piques your interest, you are unlikely to be disappointed. Sandra Bullock's performance is solid. Gravity's main drawback is lack of pacing and lack of dramatic tension. There are no flashbacks and many sequences are long shot after long shot to the point where it goes from impressive to showing off. Still, I'd have to say Gravity is what it is supposed to be: action-packed and thrilling."
,,,"I felt as though it started halfway through. There was plenty of suspense, but it wasn't as good as I was expecting."
,,,"Really intense and stressful throughout the movie. Sandra Bullock did amazing. She's basically the only character and she did great. The visuals are really stunning. The music and sound mixing was really good also. I did not like how George Clooney had to let go, the science doesn't make sense to me. Unless I'm wrong, there should have been no force pushing him out. I was entertained throughout the movie."
,,,More physical than intellectual; it's a movie that makes you feel one thing: fear.
,,,"It's not the best film of the year in my opinion. The special effects are great and there were some intense moments. But there were parts in the film were it began to annoy me and some parts felt forced. Overall with masterful directing, intense moments and one breathless movie, just lacks a good main cahatacter"
,,,"Great film, Produced very well. It grabs you from beginning to end. Very intense and at the end you have to sit back and take a breath."
,,,A great story that totally pulled me in. Not once did I think about the artiface used to tell this tale. It is visually stunning and a great tale.
,,,"A really intense thrill ride that doesn't let up and keeps you interested all the way without letting it get boring or letting the characters drag. One or two pointless moments, but other than that, a damn fine film."
,,,Great movie! Didn't think it could be as good as it was with only two people acting in it! The only thing that bothered me was some of the physics in the movie got messed up but it's such a great movie I can handle it to watch it again!
,,,"The story is far too cliche and the characters are very poorly developed in this film. While some of the special effects were spectacular, much of the science is inaccurate and the events are far too unlikely to have occurred."
